id,area,district,floor,distance_to_center,rent_price
69,66.4,suburb,11,7.97,1228.7
70,52.5,central,5,0.84,4468.68
71,86.3,old_town,3,2.57,3792.11
72,63.5,riverside,6,3.71,2351.98
73,88.0,central,7,0.66,5693.04
74,54.4,central,4,2.53,4341.75
75,18.0,suburb,12,13.22,836.0
76,19.5,business,28,2.95,3614.73
77,60.3,industrial,15,10.71,350.0
78,62.2,residential,3,6.91,2432.18
79,78.6,riverside,24,6.17,2340.85
80,92.3,business,14,1.11,3472.76
81,54.5,riverside,7,6.16,2275.66
82,33.0,industrial,6,9.39,715.36
83,63.3,old_town,8,3.64,2522.26
84,47.3,central,17,1.53,4353.62
85,70.9,green_zone,16,5.1,3331.46
86,43.2,business,3,2.63,5101.67
87,86.3,riverside,8,8.65,2204.7
88,108.9,suburb,3,12.07,1865.93
89,35.8,residential,13,8.91,1631.96
90,82.8,suburb,16,11.9,2427.93
91,43.4,suburb,9,14.86,1904.02
92,71.5,green_zone,7,8.1,3491.88
93,25.2,university,15,2.6,2967.57
94,28.4,central,10,2.19,3570.55
95,42.9,central,11,0.2,3930.97
96,167.1,luxury_hills,3,10.31,18865.91
97,59.0,central,6,2.59,4133.22
98,74.0,business,5,2.9,3435.44
99,73.4,central,5,2.24,2849.16
100,84.1,suburb,16,9.94,1227.18
101,108.7,suburb,12,17.7,2225.37
102,94.3,green_zone,2,6.22,2668.51
103,59.0,university,12,3.92,1638.39
104,36.2,central,1,1.25,2786.65
105,72.7,suburb,8,8.83,2450.45
106,39.1,residential,7,6.18,1800.69
107,59.4,green_zone,13,4.86,5359.37
108,19.5,residential,22,6.97,1636.86
109,53.1,industrial,15,9.42,1483.23
110,139.1,green_zone,4,6.72,4784.91
111,94.7,old_town,7,2.37,2367.0
112,38.6,residential,9,6.75,1664.43
113,66.8,old_town,1,2.22,3147.48
114,95.6,luxury_hills,7,6.26,10243.68
115,101.6,green_zone,8,8.53,2653.11
116,57.4,industrial,6,12.53,873.96
117,66.2,residential,7,8.84,2087.48
118,52.9,university,7,6.08,3783.49
119,69.9,suburb,3,12.3,350.0
120,111.4,business,4,1.67,3804.93
121,101.7,riverside,12,4.69,3264.59
122,61.8,business,11,4.76,2992.02
123,94.9,residential,7,2.61,1635.83
124,40.0,green_zone,8,10.92,2770.48
125,94.3,residential,11,5.52,2103.45
126,110.4,riverside,5,8.51,3507.19
127,46.0,central,11,0.5,4671.11
128,74.3,central,1,1.33,3869.78
129,45.0,green_zone,2,10.78,1900.48
130,58.1,university,3,4.37,2571.51
131,42.6,university,2,3.58,3819.55
132,131.6,suburb,15,5.99,1920.69
133,72.6,green_zone,16,7.84,1960.46
134,65.4,residential,11,6.95,2548.04
135,81.8,old_town,7,4.39,2507.79
136,37.6,central,1,1.4,2612.33
137,36.1,university,18,6.33,2759.02
138,92.8,riverside,28,6.05,2520.3
139,58.8,residential,12,6.62,1732.01
140,39.7,suburb,12,15.72,1791.72
141,84.1,riverside,22,7.59,1139.35
142,25.3,residential,6,6.14,1485.87
143,77.0,residential,20,4.06,2719.48
144,148.5,green_zone,15,10.36,2598.36
145,60.3,green_zone,16,9.7,2388.2
146,63.2,residential,4,5.41,5998.73
147,80.5,business,3,2.56,4810.89
148,71.1,residential,7,6.27,3217.56
149,65.7,industrial,1,13.3,1671.5
150,42.3,central,6,2.56,5398.23
151,25.2,riverside,5,7.02,2217.22
152,66.7,business,6,4.0,3355.34
153,52.4,industrial,3,8.34,1193.78
154,144.6,luxury_hills,20,10.68,23531.66
155,69.0,riverside,8,3.51,4725.56
156,91.0,residential,9,8.49,1763.89
157,64.5,university,12,4.23,2499.11
158,41.1,business,7,1.92,2816.69
159,62.6,riverside,12,2.8,3858.74
160,64.8,residential,1,4.2,7431.9
161,107.3,green_zone,8,6.99,2413.47
162,107.9,luxury_hills,8,9.82,9489.62
163,149.3,suburb,14,8.89,2601.06
164,50.1,riverside,1,5.26,3313.78
165,60.3,green_zone,18,4.42,2716.27
166,51.2,residential,2,7.03,1731.09
167,71.2,residential,3,4.54,1000.97
168,40.6,university,2,5.05,1972.26
169,66.6,industrial,12,12.63,850.59
170,49.2,industrial,10,14.64,1409.19
171,47.2,university,19,4.69,3055.31
172,75.1,suburb,11,11.25,1794.87
173,60.6,industrial,5,11.63,2202.18
174,80.0,suburb,17,9.76,2758.58
175,64.9,suburb,1,9.57,3300.69
176,54.2,business,24,2.04,3216.43
177,84.9,suburb,15,15.14,1676.52
178,77.9,riverside,26,5.4,3323.45
179,87.2,suburb,5,9.91,1432.11
180,45.5,residential,2,7.52,1912.66
181,44.0,suburb,4,17.72,1647.41
182,88.0,business,8,2.38,5082.76
183,191.3,luxury_hills,10,11.3,23027.08
184,55.1,university,10,3.62,1711.9
185,75.9,residential,5,6.24,1233.72
186,78.9,green_zone,7,5.34,2974.45
187,60.6,industrial,15,7.3,940.43
188,80.0,residential,5,7.33,1824.36
189,61.1,green_zone,13,7.17,2624.07
190,73.2,residential,4,8.0,3210.81
191,95.4,residential,7,6.9,350.0
192,62.5,riverside,7,3.22,4387.34
193,46.6,riverside,5,2.73,1982.85
194,77.7,suburb,15,8.17,3088.35
195,51.8,industrial,2,10.25,412.52
196,65.5,residential,19,3.66,1725.58
197,96.3,green_zone,20,8.06,1001.93
198,98.7,suburb,12,16.78,2521.04
199,39.2,industrial,11,9.77,2194.0
200,82.9,riverside,4,7.26,2879.23
201,62.3,green_zone,16,11.5,1967.89
202,68.8,luxury_hills,1,10.47,7287.5
203,83.8,residential,15,6.7,1970.45
204,75.5,industrial,2,8.42,2355.83
205,41.1,industrial,14,11.97,1285.15
206,64.1,residential,2,7.79,2391.74
207,56.2,riverside,3,6.14,2734.17
208,60.9,business,5,3.01,2751.07
209,42.2,industrial,12,6.5,1575.96
210,54.4,business,12,2.83,2682.76
211,68.8,industrial,1,5.31,1285.77
212,84.2,residential,11,5.9,2221.07
213,78.9,industrial,4,9.08,1126.13
214,49.5,university,11,1.97,2989.73
215,56.2,residential,8,6.59,867.74
216,62.1,old_town,8,2.65,4467.54
217,109.2,riverside,9,6.45,2794.04
218,86.3,old_town,2,3.35,2710.95
219,55.4,green_zone,3,5.02,1921.42
220,62.4,luxury_hills,7,9.79,5874.49
221,69.3,riverside,28,3.94,2849.23
222,37.4,residential,1,8.69,1651.22
223,93.1,suburb,16,6.87,1878.6
224,73.8,residential,3,8.18,2133.96
225,100.2,residential,3,8.17,4152.93
226,75.4,green_zone,1,6.84,2511.35
227,80.5,old_town,7,3.58,1417.18
228,78.9,residential,1,7.57,1051.43
229,47.2,university,11,5.5,2377.8
230,60.6,riverside,2,6.4,4093.98
231,63.9,residential,14,5.47,3031.06
232,62.9,riverside,7,6.46,2503.65
233,80.7,riverside,3,3.53,1577.54
234,124.6,suburb,12,6.87,5212.53
235,35.6,riverside,14,4.46,3620.0
236,44.0,riverside,17,6.29,2779.4
237,104.6,old_town,8,1.43,2513.97
238,18.6,university,17,5.56,2404.83
239,29.8,industrial,10,15.18,517.41
240,82.9,riverside,17,3.2,3926.96
241,53.3,riverside,11,5.41,3421.99
242,62.4,business,10,2.21,6208.89
243,103.4,riverside,29,7.24,2546.82
244,50.1,business,29,2.06,2940.12
245,114.5,green_zone,6,6.91,350.0
246,45.8,central,4,1.02,3178.09
247,69.8,industrial,7,14.86,1285.46
248,65.1,riverside,12,4.78,4173.56
249,52.0,business,40,2.87,4973.51
250,68.8,suburb,15,14.61,2331.36
251,38.7,business,39,3.39,2222.84
252,66.7,residential,10,11.55,1198.7
253,64.9,industrial,4,11.24,1883.46
254,47.7,central,9,0.27,3681.69
255,58.0,residential,10,4.64,2397.92
256,97.8,green_zone,7,6.41,2801.91
257,24.8,business,3,3.02,3444.72
258,104.1,old_town,7,0.73,2866.07
259,72.9,university,12,4.82,2951.13
260,95.5,business,10,5.07,4821.24
261,70.6,residential,7,7.05,2405.64
262,89.6,industrial,13,6.96,1881.78
263,49.4,suburb,15,15.15,2214.72
264,73.9,suburb,2,10.42,1604.93
265,114.6,suburb,12,12.04,2051.0
266,100.7,residential,22,9.36,1740.4
267,92.7,suburb,2,17.96,1680.59
268,51.9,university,10,5.33,3124.12
269,119.3,luxury_hills,10,2.83,12121.72
270,70.3,university,12,6.42,2200.48
271,47.2,residential,1,7.45,2321.34
272,52.0,university,1,3.87,2794.17
273,71.2,residential,6,5.67,2176.0
274,63.1,residential,8,8.72,2812.61
275,62.3,university,15,2.6,2887.63
276,54.8,residential,11,9.73,2362.48
277,58.6,old_town,5,2.7,1579.52
278,20.2,business,9,3.65,2723.26
279,77.1,luxury_hills,1,7.41,6985.47
280,64.5,business,7,2.28,3696.37
281,64.1,riverside,29,3.62,5945.97
282,81.6,residential,8,8.9,2114.32
283,115.9,suburb,5,12.99,2540.35
284,28.0,university,11,3.85,5073.41
285,70.9,central,5,1.53,3780.85
286,135.2,suburb,12,5.28,4618.28
287,68.2,industrial,2,10.49,1467.64
288,124.7,suburb,11,14.49,1955.06
289,69.6,university,9,6.78,2644.75
290,21.5,university,4,6.62,5042.64
291,129.1,suburb,8,14.48,2796.46
292,61.8,suburb,6,16.32,2537.61
293,72.4,riverside,7,6.33,3784.05
294,63.4,industrial,10,8.97,1261.89
295,108.9,suburb,4,14.41,1291.51
296,164.3,luxury_hills,10,3.31,16685.55
297,50.1,residential,10,4.14,2197.33
298,80.8,business,16,1.41,3581.77
299,95.6,green_zone,20,8.23,2591.18
300,64.1,business,10,4.65,3281.0
301,56.5,business,3,3.21,4984.51
302,39.9,central,34,1.94,5475.8
303,208.8,luxury_hills,17,7.58,26848.74
304,92.5,suburb,7,12.91,1807.6
305,56.3,university,9,4.53,3006.17
306,35.8,industrial,10,10.19,1293.68
307,56.9,old_town,3,3.35,1829.82
308,39.6,business,29,2.57,3737.61
309,56.8,residential,5,8.29,2598.77
310,75.4,luxury_hills,17,5.91,7538.72
311,69.6,central,7,0.8,4654.34
312,119.0,residential,12,4.88,978.16
313,28.2,university,19,5.11,4105.84
314,72.5,residential,11,9.03,2736.71
315,93.2,suburb,1,13.87,2333.5
316,48.6,residential,15,8.51,1938.55
317,91.2,residential,14,5.52,894.58
318,125.0,luxury_hills,4,7.07,10503.53
319,74.6,business,6,1.77,3995.38
320,83.6,riverside,11,6.45,2804.04
321,52.5,residential,11,8.1,2983.28
322,105.3,luxury_hills,9,6.18,12494.82
323,38.4,university,11,2.72,2657.9
324,57.4,industrial,10,11.36,350.59
325,50.1,suburb,18,7.27,2234.4
326,123.2,old_town,4,2.76,2336.24
327,66.3,business,7,0.95,2496.59
328,68.5,residential,12,8.13,4301.16
329,92.7,residential,16,9.66,2830.38
330,94.7,business,2,2.3,5169.11
331,66.8,business,3,3.1,3367.76
332,64.7,green_zone,16,6.19,1942.42
333,25.6,riverside,16,6.28,2448.67
334,69.0,residential,9,5.45,1798.59
335,50.8,old_town,6,1.0,4217.4
336,35.6,central,5,1.42,3312.86
337,63.4,university,6,5.21,3659.75
338,199.6,luxury_hills,23,6.0,23193.17
339,68.2,green_zone,1,9.4,1408.23
340,84.4,green_zone,14,7.85,2584.14
341,83.9,riverside,6,6.26,2894.19
342,82.2,suburb,18,5.11,2236.0
343,105.9,green_zone,10,9.61,2921.33
344,85.6,residential,6,9.49,1557.94
345,109.8,riverside,8,5.09,2671.69
346,144.0,suburb,2,11.22,1598.95
347,63.5,university,5,5.93,3325.58
348,62.0,university,11,4.61,1711.43
349,40.9,central,5,0.2,4915.42
350,57.1,industrial,9,11.13,956.29
351,110.4,old_town,2,2.6,4483.96
352,83.7,business,10,4.54,2836.19
353,73.7,residential,14,7.96,2647.84
354,120.9,green_zone,5,8.32,2464.24
355,47.1,university,6,1.68,3308.73
356,52.1,business,3,5.13,2461.94
357,72.1,central,10,3.0,6873.53
358,61.2,residential,10,10.5,2018.3
359,127.7,green_zone,17,6.89,3948.0
360,39.3,central,8,0.81,5127.56
361,82.6,residential,16,6.46,2739.77
362,62.1,central,2,1.15,3135.97
363,86.7,business,3,1.34,1887.37
364,72.7,old_town,1,1.29,3211.73
365,78.7,industrial,5,10.08,704.64
366,69.1,riverside,11,3.32,2788.75
367,59.9,residential,15,7.78,1647.6
368,82.2,old_town,7,3.62,3022.92
369,39.6,central,6,0.86,6966.5
370,68.2,industrial,12,13.87,1793.26
371,50.4,suburb,11,15.3,1504.29
372,54.4,green_zone,10,7.2,2277.11
373,54.3,industrial,12,14.28,990.13
374,49.5,university,7,0.2,2041.74
375,34.3,central,11,1.21,4695.47
376,89.9,green_zone,3,6.64,3159.25
377,98.0,green_zone,15,10.24,1601.17
378,79.4,riverside,12,7.7,3078.4
379,43.5,university,5,6.05,1306.79
380,83.8,business,12,2.2,2905.95
381,69.6,suburb,6,13.54,1361.07
382,65.7,central,5,1.77,4272.28
383,33.5,residential,8,9.78,1001.17
384,38.6,old_town,8,2.91,2650.79
385,63.6,central,22,1.49,3868.83
386,65.6,central,1,0.69,3930.11
387,66.8,industrial,15,10.55,1203.01
388,81.4,industrial,10,7.21,1470.54
389,63.9,riverside,4,3.72,3116.19
390,71.4,residential,1,6.45,3245.45
391,36.1,luxury_hills,19,8.02,3683.94
392,47.7,university,18,7.29,1623.85
393,82.4,residential,7,5.29,2749.25
394,45.8,business,2,4.89,2654.44
395,30.8,university,3,6.1,3405.43
396,116.9,business,5,1.53,4418.49
397,49.0,residential,14,6.18,1841.51
398,42.8,residential,1,9.84,1391.12
399,107.8,suburb,4,9.39,1677.67
400,45.5,old_town,6,2.17,1659.87
401,60.0,residential,2,4.78,1321.42
402,47.6,luxury_hills,6,15.18,5808.33
403,58.0,central,9,0.83,4648.02
404,50.7,central,6,0.37,3848.65
405,86.4,industrial,16,11.2,1514.44
406,56.8,green_zone,13,9.42,2886.22
407,80.0,business,8,2.79,3165.16
408,88.1,riverside,6,5.4,5064.91
409,85.3,suburb,10,12.67,1765.59
410,53.8,riverside,11,8.6,2144.39
411,121.4,green_zone,9,11.92,1439.27
412,57.4,suburb,14,10.36,5906.3
413,57.5,suburb,2,10.01,2051.86
414,121.3,suburb,12,5.97,2625.83
415,76.5,residential,8,7.57,2985.24
416,107.6,luxury_hills,6,6.2,8712.18
417,118.5,business,12,3.2,4545.79
418,62.7,central,7,0.44,2730.39
419,46.5,residential,7,5.72,2132.89
420,73.6,residential,10,3.01,3624.0
421,63.6,central,4,2.03,3012.92
422,112.9,suburb,4,8.65,1904.73
423,55.7,central,8,0.56,3837.8
424,43.5,central,29,2.71,1748.13
425,43.7,university,8,1.17,2321.02
426,52.5,business,3,3.18,3036.1
427,58.4,riverside,5,4.18,1318.27
428,70.6,riverside,5,6.8,1525.61
429,66.8,university,8,3.48,2829.55
430,63.0,riverside,29,5.04,3858.24
431,123.6,suburb,10,17.57,492.83
432,18.7,university,8,4.23,2620.67
433,128.8,green_zone,16,5.07,1681.48
434,86.9,university,6,3.79,1815.09
435,42.2,riverside,4,4.93,3406.14
436,171.1,luxury_hills,9,6.9,25120.81
437,40.7,university,8,5.26,2142.1
438,57.8,business,12,3.04,4743.42
439,40.9,university,12,2.72,2764.58
440,67.2,central,12,0.2,3453.53
441,57.1,university,17,5.27,2770.34
442,35.6,old_town,3,4.0,2633.01
443,31.4,residential,6,7.87,2059.07
444,55.9,residential,4,6.89,3178.84
445,180.1,luxury_hills,12,7.38,19400.52
446,69.5,suburb,12,7.43,1237.36
447,79.6,business,11,2.64,3380.4
448,88.9,industrial,8,9.12,1654.43
449,80.2,suburb,2,15.23,2146.19
450,18.0,old_town,2,3.11,2027.14
451,78.7,green_zone,14,10.22,2627.83
452,100.6,suburb,16,10.2,2039.45
453,69.6,suburb,17,7.67,1954.15
454,81.0,old_town,2,2.58,1078.18
455,181.7,luxury_hills,11,8.56,35359.6
456,76.6,residential,2,9.22,1645.26
457,84.0,business,31,2.02,3486.82
458,88.1,residential,15,8.9,3150.96
459,94.9,suburb,9,14.64,1797.42
460,43.0,industrial,11,12.19,616.87
461,91.4,business,1,3.06,3024.57
462,57.0,residential,3,10.34,2602.72
463,35.8,residential,12,8.29,1991.81
464,33.7,industrial,2,6.44,1435.63
465,107.7,old_town,2,1.47,4237.94
466,57.9,university,18,4.22,4021.33
467,30.9,residential,6,8.16,654.89
468,60.9,suburb,4,13.64,2100.96
469,89.9,suburb,10,12.69,2194.24
470,68.8,green_zone,7,8.38,3489.84
471,50.3,residential,20,4.82,2159.47
472,50.1,green_zone,17,9.7,2801.36
473,49.2,business,9,2.53,2755.1
474,87.8,suburb,1,15.07,1297.69
475,35.6,university,10,4.83,1817.93
476,64.2,suburb,10,15.55,2142.01
477,134.1,suburb,6,15.86,350.0
478,62.4,business,6,1.84,3424.92
479,34.1,industrial,9,8.61,1189.28
480,108.7,suburb,12,4.86,2277.87
481,44.4,old_town,5,3.38,2426.24
482,62.4,old_town,4,0.2,4078.28
483,39.5,central,18,1.08,5523.82
484,51.6,central,31,0.2,3236.15
485,18.0,riverside,6,4.5,2522.54
486,69.1,central,2,2.32,3292.0
487,36.6,old_town,4,4.77,2874.4
488,94.1,central,19,2.21,3494.52
489,84.7,old_town,5,4.23,4013.59
490,89.6,riverside,8,8.95,1851.69
491,52.3,business,4,3.73,2545.99
492,36.3,university,13,5.2,2112.31
493,60.0,business,18,1.77,4950.67
494,33.0,residential,1,7.9,2108.73
495,18.0,central,4,1.39,3391.03
496,89.3,riverside,1,4.31,3918.92
497,79.0,residential,21,7.88,1191.87
498,60.9,green_zone,11,5.14,2862.71
499,69.4,university,11,2.34,3039.73
500,95.9,riverside,10,4.23,2686.67
501,35.3,business,3,3.26,3122.99
502,18.0,central,16,1.92,5741.93
503,51.0,residential,4,5.08,1836.19
504,106.6,residential,1,4.61,3587.05
505,27.8,central,2,2.05,3035.29
506,67.6,green_zone,20,11.45,2481.14
507,53.9,central,5,1.83,2846.65
508,63.9,industrial,13,13.95,2025.71
509,56.4,university,2,5.18,2915.02
510,31.8,university,3,2.88,3671.63
511,76.9,residential,2,5.74,2310.94
512,43.3,industrial,13,13.5,975.4
513,53.2,riverside,12,4.68,2941.98
514,61.7,suburb,5,10.4,3615.22
515,75.7,industrial,13,11.16,1373.9
516,82.1,business,7,1.83,7585.96
517,60.0,suburb,1,8.83,1401.95
518,75.1,business,2,3.72,3996.78
519,56.5,residential,4,6.13,2394.73
520,44.7,central,12,1.63,6279.15
521,77.5,suburb,8,6.48,3090.62
522,59.8,residential,2,7.04,1850.06
523,40.3,old_town,2,1.33,2836.5
524,138.7,riverside,12,6.5,2702.39
525,78.1,old_town,7,1.72,2862.39
526,71.0,residential,7,5.67,1714.03
527,79.4,residential,10,4.17,3601.19
528,28.6,residential,1,7.41,1046.83
529,70.9,residential,18,4.56,3865.98
530,82.1,residential,8,7.91,1703.04
531,18.0,central,3,3.13,3224.02
532,67.2,residential,1,3.57,1641.04
533,106.7,residential,11,9.06,3006.88
534,43.9,industrial,12,12.16,1556.62
535,36.9,university,11,2.95,1808.12
536,49.8,residential,8,7.11,2864.27
537,29.7,industrial,1,13.17,496.25
538,58.2,riverside,8,4.04,3296.45
539,136.0,suburb,7,11.38,1727.83
540,84.7,suburb,1,17.69,1750.54
541,81.2,riverside,1,6.9,2545.87
542,80.1,riverside,2,6.35,4071.83
543,66.5,residential,1,6.83,1591.57
544,156.4,luxury_hills,1,10.24,27074.7
545,133.4,suburb,12,10.95,1444.27
546,46.0,residential,11,9.05,2080.42
547,44.2,university,14,2.52,3947.2
548,177.6,luxury_hills,22,6.95,21399.45
549,25.8,industrial,3,6.1,514.95
550,49.5,business,2,4.65,2371.96
551,41.9,central,24,0.82,4210.8
552,65.4,residential,14,10.29,2578.74
553,91.0,green_zone,3,7.01,2734.83
554,76.4,central,10,2.01,4153.32
555,71.7,residential,8,5.92,1807.88
556,40.1,central,7,1.44,3528.48
557,100.3,suburb,12,13.45,1817.58
558,28.9,old_town,7,0.7,2179.03
559,88.0,riverside,21,4.72,5339.87
560,89.1,suburb,1,12.04,2109.5
561,68.0,riverside,12,5.47,3944.04
562,122.0,suburb,9,11.6,710.65
563,63.4,riverside,7,6.63,3370.21
564,60.6,central,9,1.51,2835.61
565,62.2,central,13,1.14,4605.39
566,64.2,suburb,16,10.19,2726.1
567,58.4,university,11,5.0,2564.69
568,63.3,industrial,14,9.56,942.43
569,37.7,university,19,3.44,2381.25
570,29.3,residential,9,5.08,1524.81
571,41.4,residential,17,5.71,2565.19
572,70.0,old_town,1,2.75,1621.24
573,61.2,industrial,12,11.33,986.87
574,48.1,central,6,2.07,4503.8
575,60.7,central,10,1.19,6194.62
576,46.5,business,29,2.5,3652.69
577,48.2,industrial,13,9.19,1806.66
578,58.3,business,12,1.75,6109.06
579,58.9,green_zone,15,7.7,2906.51
580,95.4,green_zone,6,2.78,2240.05
581,40.4,residential,15,3.81,2414.31
582,48.3,residential,5,7.27,1638.66
583,87.8,riverside,23,8.27,2353.55
584,38.4,central,5,1.71,2902.41
585,63.0,business,7,2.93,2704.46
586,71.8,industrial,16,10.25,1957.11
587,77.9,central,1,1.06,3450.16
588,86.0,residential,2,5.55,1906.55
589,28.3,business,6,3.35,6148.31
590,80.8,suburb,4,17.38,1151.99
591,38.9,business,1,4.68,2128.82
592,35.6,university,2,6.54,2414.49
593,61.3,suburb,1,15.45,1200.94
594,77.9,residential,4,9.47,2239.95
595,107.3,residential,21,1.87,1859.42
596,50.1,suburb,18,9.86,1969.29
597,43.8,suburb,14,11.31,1315.73
598,31.4,residential,2,8.07,3137.39
599,61.2,residential,5,13.07,1553.63
600,55.5,industrial,12,12.9,933.79
601,47.6,residential,13,3.98,1278.75
602,67.9,university,11,3.34,1757.36
603,51.9,suburb,10,9.91,3357.85
604,79.0,residential,18,5.5,2653.19
605,46.0,business,19,4.23,2311.2
606,51.8,university,13,4.23,2940.67
607,59.4,central,4,2.99,5531.38
608,67.7,business,3,2.18,4172.32
609,39.5,central,10,0.99,4479.34
610,74.3,luxury_hills,9,12.43,8151.13
611,118.4,old_town,3,1.42,3748.5
612,57.5,industrial,9,7.5,1348.96
613,67.6,business,8,1.34,4115.19
614,103.8,suburb,15,10.93,1822.13
615,57.7,industrial,8,7.85,2261.34
616,102.7,suburb,10,11.43,1442.11
617,40.6,residential,13,7.88,1878.25
618,43.4,riverside,11,2.59,4173.43
619,90.0,residential,3,11.42,1655.89
620,93.8,suburb,11,11.69,2370.03
621,78.2,residential,8,4.27,1542.5
622,18.0,residential,3,7.33,2389.29
623,59.8,business,11,4.17,1956.39
624,79.5,old_town,3,0.96,4492.85
625,52.2,suburb,9,12.14,2890.82
626,29.3,industrial,12,9.91,350.0
627,51.2,residential,2,7.07,4702.39
628,43.6,university,10,2.79,4742.42
629,107.2,suburb,4,11.08,2153.87
630,97.3,suburb,15,13.45,2119.78
631,80.8,suburb,13,9.83,1760.13
632,73.3,old_town,5,3.34,2962.17
633,41.9,industrial,1,9.53,1432.99
634,103.7,residential,12,7.44,1840.05
635,58.1,university,3,4.41,3077.25
636,54.8,central,27,0.7,5260.54
637,26.3,industrial,13,9.64,1545.02
638,57.6,business,8,2.51,1908.27
639,123.4,suburb,3,16.21,409.81
640,76.1,industrial,12,15.55,954.55
641,47.4,suburb,8,10.85,985.29
642,95.0,riverside,12,2.0,5722.94
643,65.5,business,3,3.0,3458.79
644,45.8,suburb,10,9.55,2128.24
645,100.6,residential,7,10.47,1988.88
646,75.8,central,6,1.74,4246.96
647,120.6,suburb,7,18.32,2721.3
648,130.5,green_zone,12,5.62,3159.2
649,49.8,riverside,1,8.27,2720.43
650,74.7,central,8,2.22,4012.5
651,173.4,luxury_hills,12,12.62,27126.31
652,81.6,residential,18,7.01,1489.01
653,83.7,suburb,8,20.66,1877.93
654,59.7,central,21,1.44,2155.25
655,70.3,suburb,13,11.06,1369.53
656,75.5,residential,2,6.5,1226.22
657,98.7,riverside,1,5.83,5919.23
658,48.3,university,3,3.45,3823.15
659,39.6,central,5,0.32,4722.23
660,34.0,industrial,5,11.09,1089.39
661,72.1,university,3,4.92,2867.4
662,33.9,university,20,6.04,5040.12
663,58.1,residential,1,7.51,1746.55
664,38.9,university,4,2.49,2540.19
665,65.4,business,37,3.31,4143.34
666,35.4,residential,11,5.89,2280.78
667,75.3,residential,1,2.88,2883.36
668,86.2,green_zone,1,4.27,680.01
669,88.1,luxury_hills,8,10.16,9672.81
670,30.2,university,2,6.8,2596.07
671,77.3,riverside,10,3.5,2855.21
672,72.7,riverside,6,5.48,4499.6
673,82.8,business,7,3.38,4016.84
674,66.0,business,4,3.52,3714.37
675,40.3,central,19,2.07,6330.09
676,69.1,suburb,5,14.74,1064.3
677,50.1,green_zone,6,7.89,1908.99
678,101.1,residential,7,4.61,803.65
679,80.7,industrial,16,12.47,1024.68
680,88.6,residential,20,5.71,1937.72
681,112.6,riverside,4,5.33,2224.0
682,51.6,industrial,2,11.07,922.3
683,64.1,industrial,4,9.17,1970.8
684,94.9,green_zone,11,5.31,2959.76
